time,open,high,low,close,volume
Mon Mar 01 14:21:00 GMT 2021,123.73,123.8,123.73,123.74,8365
Mon Mar 01 14:22:00 GMT 2021,123.77,123.79,123.76,123.79,3412
Mon Mar 01 14:23:00 GMT 2021,123.76,123.8,123.71,123.77,11509
Mon Mar 01 14:24:00 GMT 2021,123.75,123.77,123.75,123.75,4876
Mon Mar 01 14:25:00 GMT 2021,123.75,123.76,123.74,123.74,7356
Mon Mar 01 14:26:00 GMT 2021,123.74,123.77,123.74,123.77,9146
Mon Mar 01 14:27:00 GMT 2021,123.78,123.8,123.76,123.78,12903
Mon Mar 01 14:28:00 GMT 2021,123.8,123.87,123.78,123.85,10885
Mon Mar 01 14:29:00 GMT 2021,123.83,123.86,123.76,123.76,8174
Mon Mar 01 14:30:00 GMT 2021,123.74,124,123.4,123.64,2878756
Mon Mar 01 14:31:00 GMT 2021,123.62,123.97,123.52,123.74,608954
Mon Mar 01 14:32:00 GMT 2021,123.7,123.9,123.38,123.76,581636
Mon Mar 01 14:33:00 GMT 2021,123.731,123.76,123.43,123.58,559817
Mon Mar 01 14:34:00 GMT 2021,123.57,123.64,123.271,123.29,570023
Mon Mar 01 14:35:00 GMT 2021,123.3,123.42,123.08,123.14,711698
Mon Mar 01 14:36:00 GMT 2021,123.15,123.23,122.8,122.88,911957
Mon Mar 01 14:37:00 GMT 2021,122.92,123.38,122.9,123.19,550075
Mon Mar 01 14:38:00 GMT 2021,123.21,123.46,123.15,123.4,423476
Mon Mar 01 14:39:00 GMT 2021,123.39,123.5,123.24,123.29,504740
Mon Mar 01 14:40:00 GMT 2021,123.3,123.69,123.3,123.61,556682
Mon Mar 01 14:41:00 GMT 2021,123.6,123.74,123.54,123.7,418443
Mon Mar 01 14:42:00 GMT 2021,123.695,123.99,123.65,123.925,530442
Mon Mar 01 14:43:00 GMT 2021,123.92,123.935,123.76,123.76,434758
Mon Mar 01 14:44:00 GMT 2021,123.77,124.075,123.77,123.94,534083
Mon Mar 01 14:45:00 GMT 2021,123.94,124.19,123.94,124.14,614974
Mon Mar 01 14:46:00 GMT 2021,124.15,124.22,123.94,124.09,529603
Mon Mar 01 14:47:00 GMT 2021,124.09,124.14,123.91,123.955,424237
Mon Mar 01 14:48:00 GMT 2021,123.95,124.15,123.88,124.095,476941
Mon Mar 01 14:49:00 GMT 2021,124.09,124.09,123.63,123.75,667504
Mon Mar 01 14:50:00 GMT 2021,123.75,123.77,123.51,123.59,422638
Mon Mar 01 14:51:00 GMT 2021,123.59,123.99,123.57,123.93,428212
Mon Mar 01 14:52:00 GMT 2021,123.94,123.985,123.865,123.95,433290
Mon Mar 01 14:53:00 GMT 2021,123.95,124.35,123.95,124.24,732002
Mon Mar 01 14:54:00 GMT 2021,124.25,124.44,124.19,124.43,557227
Mon Mar 01 14:55:00 GMT 2021,124.44,124.52,124.39,124.44,455723
Mon Mar 01 14:56:00 GMT 2021,124.43,124.58,124.38,124.4,479589
Mon Mar 01 14:57:00 GMT 2021,124.42,124.515,124.28,124.51,686720
Mon Mar 01 14:58:00 GMT 2021,124.5,124.58,124.46,124.58,303696
Mon Mar 01 14:59:00 GMT 2021,124.57,124.84,124.56,124.81,530241
Mon Mar 01 15:00:00 GMT 2021,124.82,124.9,124.61,124.77,610789
Mon Mar 01 15:01:00 GMT 2021,124.77,124.97,124.75,124.95,384285
Mon Mar 01 15:02:00 GMT 2021,124.96,125.09,124.89,124.98,743351
Mon Mar 01 15:03:00 GMT 2021,124.98,125.095,124.94,125.02,366848
Mon Mar 01 15:04:00 GMT 2021,125.03,125.12,124.84,124.86,412508
Mon Mar 01 15:05:00 GMT 2021,124.86,125,124.86,124.92,304799
Mon Mar 01 15:06:00 GMT 2021,124.92,124.999,124.63,124.7,438541
Mon Mar 01 15:07:00 GMT 2021,124.72,124.88,124.71,124.82,255859
Mon Mar 01 15:08:00 GMT 2021,124.81,124.89,124.75,124.83,223041
Mon Mar 01 15:09:00 GMT 2021,124.83,124.92,124.75,124.815,251340
Mon Mar 01 15:10:00 GMT 2021,124.82,124.85,124.7,124.765,207850
Mon Mar 01 15:11:00 GMT 2021,124.76,124.76,124.57,124.6,456353
Mon Mar 01 15:12:00 GMT 2021,124.61,124.76,124.61,124.68,335838
Mon Mar 01 15:13:00 GMT 2021,124.68,124.7,124.51,124.61,356328
Mon Mar 01 15:14:00 GMT 2021,124.61,124.66,124.53,124.58,193440
Mon Mar 01 15:15:00 GMT 2021,124.6,124.65,124.51,124.58,252388
Mon Mar 01 15:16:00 GMT 2021,124.58,124.7,124.52,124.7,281682
Mon Mar 01 15:17:00 GMT 2021,124.695,124.84,124.65,124.83,372025
Mon Mar 01 15:18:00 GMT 2021,124.83,124.97,124.83,124.96,254943
Mon Mar 01 15:19:00 GMT 2021,124.97,125.03,124.92,125.02,367226
Mon Mar 01 15:20:00 GMT 2021,125.015,125.09,124.98,124.98,299541
Mon Mar 01 15:21:00 GMT 2021,124.981,125.04,124.89,124.91,354235
Mon Mar 01 15:22:00 GMT 2021,124.91,125.02,124.879,125.01,165685
Mon Mar 01 15:23:00 GMT 2021,125.015,125.135,125.01,125.135,284680
Mon Mar 01 15:24:00 GMT 2021,125.14,125.18,125.08,125.13,324346
